Time      encoder Position      Calculated Position
-0.001    -1.50796     6.84734
-0.001    -1.50796     6.60577
-0.001    -1.50796     6.36774
-0.001    -1.50796     6.1333
-0.001    -1.50796     5.90252
-0.001    -1.50796     5.67545
-0.001    -1.50796     5.45215
-0.001    -1.50796     5.23267
-0.001    -1.50796     5.01707
-0.001    -1.50796     4.80539
-0.001    -1.50796     4.5977
-0.001    -1.50796     4.39404
-0.001    -1.50796     4.19447
-0.001    -1.50796     3.99903
-0.001    -1.50796     3.80777
-0.001    -1.50796     3.62074
-0.001    -1.50796     3.43798
-0.001    -1.50796     3.25954
-0.001    -1.50796     3.08547
-0.001    -1.50796     2.9158
-0.001    -1.50796     2.75058
-0.001    -1.50796     2.58985
-0.001    -1.50796     2.43365
-0.001    -1.50796     2.28202
-0.001    -1.50796     2.13499
-0.001    -1.50796     1.9926
-0.001    -1.50796     1.85489
-0.001    -1.50796     1.72189
-0.001    -1.50796     1.59363
-0.001    -1.50796     1.47014
-0.001    -1.50796     1.35146
-0.001    -1.50796     1.23762
-0.001    -1.50796     1.12864
-0.001    -1.50796     1.02454
-0.001    -1.50796     0.925368
-0.001    -1.50796     0.831131
-0.001    -1.50796     0.741855
-0.001    -1.50796     0.657563
-0.001    -1.50796     0.578278
-0.001    -1.50796     0.504019
-0.001    -1.50796     0.434802
-0.001    -1.50796     0.370646
-0.001    -1.50796     0.311564
-0.001    -1.50796     0.257578
-0.001    -1.50796     0.208693
-0.001    -1.50796     0.164926
-0.001    -1.50796     0.126284
-0.001    -1.50796     0.0927803
-0.001    -1.50796     0.0644221
-0.001    -1.50796     0.041213
-0.001    -1.50796     0.0231644
-0.001    -1.50796     0.0102777
-0.001    -1.50796     0.00255536
-0.001    -1.50796     0
-0.001    -1.50796     0.00261288
-0.001    -1.50796     0.0103927
-0.001    -1.50796     0.0233382
-0.001    -1.50796     0.0414469
-0.001    -1.50796     0.0647135
-0.001    -1.50796     0.0931293
-0.001    -1.50796     0.126691
-0.001    -1.50796     0.16539
-0.001    -1.50796     0.209216
